firstName,lastName,email,totp_enabled,username,jobTitle
Frederick,Alexander,falexander@fakeemailtest.com,True,frederick.alexander,SDET
Melissa,Allen,mallen@fakeemailtest.com,False,melissa.allen,Software Engineer
Tara,Allen,tallen@fakeemailtest.com,False,tara.allen,Engineering Manager
Edith,Anderson,eanderson@fakeemailtest.com,True,edith.anderson,Accountant
Amber,Andrews,aandrews@fakeemailtest.com,True,amber.andrews,Customer Support Technician
Chelsea,Armstrong,carmstrong@fakeemailtest.com,True,chelsea.armstrong,CTO
Adele,Armstrong,aarmstrong@fakeemailtest.com,True,adele.armstrong,Software Engineer
Alissa,Bailey,abailey@fakeemailtest.com,False,alissa.bailey,Customer Support Technician
Nicole,Bailey,nbailey@fakeemailtest.com,False,nicole.bailey,Sales Manager
Brad,Baker,bbaker@fakeemailtest.com,False,brad.baker,Operations Manager
Thomas,Barrett,tbarrett@fakeemailtest.com,True,thomas.barrett,Software Engineer
Dexter,Brooks,dbrooks@fakeemailtest.com,False,dexter.brooks,Sales Representative
Jasmine,Carroll,jcarroll@fakeemailtest.com,True,jasmine.carroll,Marketing Manager
Aiden,Carter,acarter@fakeemailtest.com,False,aiden.carter,SDET
Sabrina,Carter,scarter@fakeemailtest.com,False,sabrina.carter,Engineering Director
Robert,Carter,rcarter@fakeemailtest.com,False,robert.carter,Sales Representative
Connie,Casey,ccasey@fakeemailtest.com,False,connie.casey,Customer Support Technician
Julian,Chapman,jchapman@fakeemailtest.com,True,julian.chapman,Engineering Manager
Mary,Chapman,mchapman@fakeemailtest.com,True,mary.chapman,Administrative Assistant
Roland,Chapman,rchapman@fakeemailtest.com,True,roland.chapman,Customer Support Technician
Charlotte,Chapman,cchapman@fakeemailtest.com,True,charlotte.chapman,Sales Representative
Chelsea,Chapman,cchapman@fakeemailtest.com,True,chelsea.chapman,Customer Support Technician
Ada,Clark,aclark@fakeemailtest.com,False,ada.clark,SRE
Albert,Cole,acole@fakeemailtest.com,False,albert.cole,Account Manager
Adele,Craig,acraig@fakeemailtest.com,False,adele.craig,Administrative Assistant
Lilianna,Cunningham,lcunningham@fakeemailtest.com,True,lilianna.cunningham,QA Engineer
Derek,Douglas,ddouglas@fakeemailtest.com,True,derek.douglas,Software Engineer
Alina,Elliott,aelliott@fakeemailtest.com,True,alina.elliott,Software Engineer
Miller,Ellis,mellis@fakeemailtest.com,False,miller.ellis,Accountant
Emily,Evans,eevans@fakeemailtest.com,False,emily.evans,Accountant
Isabella,Ferguson,iferguson@fakeemailtest.com,True,isabella.ferguson,SRE
